   n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
 882,          1301,             421,              0,      4422,           0,       8157
 883,          1302,             421,              0,      4425,           0,       8516
 884,          1303,             421,           8294,      4418,           0,          0
 885,          1305,             422,           7561,      4417,           0,       9023
 886,          1306,             422,            991,      4435,           0,       7649
 887,          1307,             422,              0,      4442,           0,          0
 888,          1308,             422,           8003,      4442,           0,          0
 889,          1309,             422,              0,      4454,           0,       8626
 890,          1310,             422,              0,      4453,           0,       8134
 891,          1311,             422,              0,      4468,           0,      14930
 892,          1312,             422,              0,      4474,           0,      16209
 893,          1313,             422,           3404,      4478,           0,      16722
 894,          1315,             423,           8170,      4489,           0,      16653
 895,          1317,             424,           7694,      4500,           0,      15657
 896,          1320,             426,              0,      4495,           0,      17817
 897,          1321,             426,           8224,      4501,           0,       7231
 898,          1322,             426,           8211,      4516,           0,       7607
 899,          1324,             427,              0,      4524,           0,       8206
 900,          1325,             427,              0,      4509,           0,       8633
 901,          1326,             427,              0,      4518,           0,          0
 902,          1327,             427,           8000,      4514,           0,          0
 903,          1329,             428,           7453,      4519,           0,          0
 904,          1330,             428,              0,      4555,           0,       8139
 905,          1331,             428,              0,      4558,           0,       8368
 906,          1332,             428,              0,      4572,           0,       9163
 907,          1333,             428,              0,      4566,           0,       8651
 908,          1334,             428,              0,      4558,           0,       8015
 909,          1337,             430,           6640,      4557,           0,       9020
 910,          1341,             433,              0,      4555,           0,       7409
 911,          1342,             433,              0,      4571,           0,          0
 912,          1343,             433,           8382,      4585,           0,          0
 913,          1345,             434,              0,      4587,           0,       8028
 914,          1346,             434,              0,      4583,           0,      16777
 915,          1347,             434,              0,      4600,           0,       7457
 916,          1348,             434,           8482,      4597,           0,          0
 917,          1349,             434,           6218,      4604,           0,          0
 918,          1350,             434,              0,      4604,           0,       9205
 919,          1352,             435,              0,      4623,           0,      15627
 920,          1353,             435,              0,      4621,           0,       7643
 921,          1354,             435,              0,      4624,           0,          0
 922,          1356,             436,           8176,      4631,           0,          0
 923,          1357,             436,           8650,      4643,           0,          0
 924,          1358,             436,              0,      4657,           0,          0
 925,          1359,             436,              0,      4658,           0,       8624
 926,          1361,             437,              0,      4659,           0,       8126
 927,          1362,             437,              0,      4663,           0,       8378
 928,          1363,             437,              0,      4697,           0,          0
 929,          1364,             437,              0,      4701,           0,       8652
 930,          1367,             439,              0,      4686,           0,       8004
 931,          1371,             442,              0,      4704,           0,       9534
 932,          1372,             442,              0,      4703,           0,       9184
 933,          1373,             442,              0,      4706,           0,      10881
 934,          1375,             443,              0,      4713,           0,       8202
 935,          1376,             443,              0,      4727,           0,       4085
 936,          1377,             443,              0,      4736,           0,       9096
 937,          1378,             443,              0,      4738,           0,       7531
 938,          1379,             443,              0,      4750,           0,      11554
 939,          1380,             443,            782,      4746,           0,      17310
 940,          1382,             444,           1000,      4758,           0,          0
 941,          1385,             446,           8167,      4758,           0,          0
 942,          1388,             448,              0,      4779,           0,          0
 943,          1389,             448,           8172,      4778,           0,          0
 944,          1390,             448,           8300,      4787,           0,          0
 945,          1392,             449,              0,      4792,           0,       8131
 946,          1393,             449,           6494,      4806,           0,       1155
 947,          1394,             449,              0,      4814,           0,       8002
 948,          1396,             450,           8608,      4792,           0,        999
 949,          1398,             451,              0,      4794,           0,       8187
 950,          1399,             451,              0,      4814,           0,        862
 951,          1400,             451,              0,      4833,           0,       8162
 952,          1401,             451,              0,      4828,           0,       8473
 953,          1402,             451,              0,      4829,           0,       6760
 954,          1403,             451,            994,      4856,           0,          0
 955,          1404,             451,           8499,      4850,           0,       9755
 956,          1406,             452,              0,      4856,           0,       8019
 957,          1407,             452,           7063,      4868,           0,          0
 958,          1409,             453,              0,      4877,           0,       8624
 959,          1410,             453,              0,      4892,           0,      22250
 960,          1411,             453,              0,      4885,           0,       7486
 961,          1412,             453,              0,      4891,           0,       8026
 962,          1413,             453,              0,      4911,           0,       8409
